,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
233,2010-09-28,36.68388888,-119.85111111,1.0,B,Debris Burning
234,2010-09-30,36.595,-119.85388888,1.0,B,Debris Burning
235,2010-09-30,36.74805555,-119.655,0.1,A,Miscellaneous
236,2010-10-02,36.63305555,-119.72694444,1.0,B,Debris Burning
237,2010-10-03,36.69888888,-119.88111111,1.0,B,Miscellaneous
238,2010-10-03,36.56888888,-119.59,1.0,B,Debris Burning
239,2010-10-04,36.91305555,-120.55,1.0,B,Debris Burning
240,2010-11-03,36.57611111,-119.58805555,1.0,B,Miscellaneous
241,2010-11-16,36.79388888,-119.58388888,1.0,B,Equipment Use
242,2010-11-17,36.64,-120.62111111,1.0,B,Miscellaneous
243,2010-11-17,36.60388888,-119.40194444,0.2,A,Debris Burning
244,2010-11-28,36.64,-120.62111111,0.3,B,Debris Burning
245,2010-01-02,37.285,-120.49805555,0.1,A,Debris Burning
246,2010-01-09,37.49194444,-120.74694444,1.0,B,Miscellaneous
247,2010-01-13,37.335,-120.875,1.0,B,Miscellaneous
248,2010-04-16,37.06888888,-120.31,0.2,A,Debris Burning
249,2010-05-01,37.38305555,-120.70888888,0.1,A,Miscellaneous
250,2010-05-02,37.29694444,-121.02194444,1.0,B,Miscellaneous
251,2010-05-06,36.92111111,-120.01805555,0.5,B,Miscellaneous
252,2010-05-06,37.295,-120.85111111,1.0,B,Smoking
253,2010-05-07,36.98111111,-120.645,0.5,B,Miscellaneous
254,2010-05-08,36.88,-120.445,1.5,B,Miscellaneous
255,2010-05-08,37.39611111,-120.79611111,0.1,A,Miscellaneous
256,2010-05-08,37.01111111,-120.11111111,1.0,B,Debris Burning
257,2010-05-08,36.97111111,-119.89388888,0.1,A,Equipment Use
258,2010-05-09,36.98611111,-120.645,0.5,B,Miscellaneous
259,2010-05-09,36.985,-120.645,0.5,B,Miscellaneous
260,2010-05-10,36.88,-119.97694444,1.0,B,Miscellaneous
261,2010-05-20,37.05194444,-120.57194444,0.2,A,Miscellaneous
262,2010-05-20,37.35194444,-120.62194444,0.1,A,Arson
263,2010-05-22,36.99305555,-120.70805555,1.0,B,Miscellaneous
264,2010-05-22,37.32388888,-120.73111111,1.0,B,Debris Burning
265,2010-05-22,37.055,-120.75111111,0.1,A,Equipment Use
266,2010-05-22,37.38888888,-120.61888888,0.3,B,Railroad
267,2010-05-23,37.295,-120.325,0.5,B,Miscellaneous
268,2010-05-23,37.075,-120.87611111,0.1,A,Miscellaneous
269,2010-05-23,37.35194444,-120.43805555,5.0,B,Equipment Use
270,2010-06-01,37.36305555,-120.57694444,0.3,B,Miscellaneous
271,2010-06-01,37.05694444,-120.96888888,0.3,B,Miscellaneous
272,2010-06-01,37.42888888,-120.81305555,1.0,B,Smoking
273,2010-06-02,37.38888888,-120.61888888,0.1,A,Miscellaneous
274,2010-06-02,37.01805555,-120.175,2.0,B,Miscellaneous
275,2010-06-02,37.06888888,-120.52805555,0.1,A,Miscellaneous
276,2010-06-02,37.1,-120.98888888,0.5,B,Equipment Use
277,2010-06-03,37.1,-120.84805555,0.3,B,Miscellaneous
278,2010-06-03,37.38888888,-120.61888888,0.3,B,Miscellaneous
279,2010-06-04,37.36305555,-120.57694444,0.1,A,Miscellaneous
280,2010-06-07,37.32305555,-120.60305555,0.1,A,Equipment Use
281,2010-06-09,37.285,-120.48388888,0.1,A,Miscellaneous
282,2010-06-09,37.40388888,-120.74805555,0.2,A,Miscellaneous
283,2010-06-09,37.185,-120.43694444,1.0,B,Debris Burning
284,2010-06-09,36.98,-120.07388888,0.3,B,Arson
285,2010-06-10,36.97111111,-120.05611111,0.2,A,Miscellaneous
286,2010-06-10,36.98694444,-120.63888888,1.0,B,Miscellaneous
287,2010-06-10,37.165,-121.045,4.0,B,Debris Burning
288,2010-06-11,37.50305555,-120.41,1600.0,F,Miscellaneous
289,2010-03-08,37.42694444,-120.895,0.1,A,Miscellaneous
290,2010-03-11,36.96694444,-120.645,1.0,B,Miscellaneous
291,2010-03-14,37.11305555,-120.49194444,1.0,B,Miscellaneous
292,2010-03-15,37.08388888,-120.31111111,0.1,A,Miscellaneous
293,2010-03-22,37.49305555,-120.50111111,0.5,B,Equipment Use
294,2010-03-25,37.39694444,-120.63194444,1.0,B,Miscellaneous
295,2010-03-25,37.22888888,-120.38388888,0.5,B,Miscellaneous
296,2010-03-29,37.31305555,-120.58305555,0.2,A,Children
297,2010-04-05,37.17111111,-120.31305555,0.1,A,Miscellaneous
298,2010-04-09,37.185,-120.38305555,0.3,B,Debris Burning
299,2010-04-09,37.31805555,-120.43694444,0.3,B,Children
300,2010-05-13,36.98694444,-120.07388888,0.5,B,Miscellaneous
301,2010-05-13,36.98888888,-120.02888888,0.1,A,Miscellaneous
302,2010-05-13,36.975,-120.06,0.5,B,Miscellaneous
303,2010-05-13,36.96888888,-120.06805555,1.0,B,Miscellaneous
304,2010-05-13,36.97694444,-120.07,0.3,B,Arson
305,2010-05-13,37.37611111,-120.46805555,1.0,B,Equipment Use
306,2010-05-13,36.98611111,-120.645,0.1,A,Children
307,2010-05-15,37.05111111,-120.63611111,0.1,A,Miscellaneous
308,2010-05-16,36.96805555,-120.06805555,0.1,A,Miscellaneous
309,2010-05-16,36.97694444,-120.07194444,4.0,B,Miscellaneous
310,2010-05-16,37.05694444,-120.95388888,1.0,B,Miscellaneous
311,2010-05-18,37.38888888,-120.62194444,0.5,B,Miscellaneous
312,2010-05-24,37.11388888,-120.32888888,0.1,A,Miscellaneous
313,2010-05-24,37.31694444,-120.73388888,0.1,A,Miscellaneous
314,2010-05-25,37.36305555,-120.57694444,1.0,B,Miscellaneous
315,2010-05-25,37.42888888,-120.61305555,1.0,B,Debris Burning
316,2010-05-28,37.39111111,-120.62194444,0.2,A,Miscellaneous
317,2010-05-29,37.34611111,-120.52194444,0.3,B,Miscellaneous
318,2010-05-29,36.93305555,-119.89694444,0.1,A,Miscellaneous
319,2010-05-29,36.98611111,-120.645,1.0,B,Equipment Use
320,2010-05-29,37.34111111,-120.85111111,1.0,B,Equipment Use
321,2010-05-30,37.005,-120.085,1.0,B,Miscellaneous
322,2010-05-31,37.23305555,-120.25194444,2.0,B,Debris Burning
323,2010-06-05,37.28694444,-120.25194444,0.1,A,Equipment Use
324,2010-06-06,36.98388888,-120.07694444,2.0,B,Miscellaneous
325,2010-06-06,37.14611111,-120.825,1.0,B,Miscellaneous
326,2010-06-06,37.075,-120.87611111,0.3,B,Miscellaneous
327,2010-06-06,37.29305555,-120.325,1.0,B,Miscellaneous
328,2010-06-06,37.01111111,-120.12888888,30.0,C,Miscellaneous
329,2010-06-06,37.34611111,-120.50611111,0.3,B,Miscellaneous
330,2010-06-06,37.01805555,-120.12888888,3.0,B,Miscellaneous
331,2010-06-06,36.97388888,-120.06,0.3,B,Arson
332,2010-06-11,37.39694444,-120.46111111,0.5,B,Miscellaneous
333,2010-06-11,37.18805555,-121.06388888,6.0,B,Miscellaneous
334,2010-06-11,37.08305555,-120.40111111,0.2,A,Miscellaneous
335,2010-06-11,36.98805555,-120.63611111,1.0,B,Miscellaneous
336,2010-06-11,37.38611111,-120.72305555,2.5,B,Miscellaneous
337,2010-06-11,37.46611111,-120.49611111,0.1,A,Miscellaneous
338,2010-06-11,37.52694444,-120.44194444,7.0,B,Equipment Use
339,2010-06-11,37.31,-120.51194444,0.1,A,Miscellaneous
340,2010-06-11,36.93111111,-119.89388888,0.3,B,Miscellaneous
341,2010-06-12,36.99611111,-119.89388888,0.1,A,Miscellaneous
342,2010-06-12,37.38194444,-120.62194444,0.1,A,Miscellaneous
343,2010-06-12,37.29111111,-120.43805555,5.0,B,Equipment Use
344,2010-06-13,36.96305555,-120.65,1.0,B,Miscellaneous
345,2010-06-13,37.01805555,-120.12888888,0.3,B,Miscellaneous
346,2010-06-13,37.38805555,-120.72,0.2,A,Miscellaneous
347,2010-06-13,37.39694444,-120.63111111,0.2,A,Miscellaneous
348,2010-06-15,37.08305555,-120.38305555,1.0,B,Miscellaneous
349,2010-06-15,37.04,-120.15611111,0.3,B,Miscellaneous
350,2010-06-15,37.17111111,-120.31305555,0.1,A,Miscellaneous
351,2010-06-15,37.32,-120.53888888,1.0,B,Miscellaneous
352,2010-06-16,36.98,-120.07,0.2,A,Miscellaneous
353,2010-06-16,37.08388888,-120.43694444,0.5,B,Miscellaneous
354,2010-06-16,36.98305555,-120.06,0.1,A,Miscellaneous
355,2010-06-16,37.28388888,-120.47,5.0,B,Miscellaneous
356,2010-06-16,36.98694444,-120.07388888,1.0,B,Miscellaneous
357,2010-06-17,37.37388888,-120.68194444,0.3,B,Miscellaneous
358,2010-06-17,36.98888888,-120.02888888,2.0,B,Miscellaneous
359,2010-06-21,37.36305555,-120.57694444,0.1,A,Miscellaneous
360,2010-06-22,37.39111111,-120.46805555,3.0,B,Miscellaneous
361,2010-06-22,37.38305555,-120.61388888,0.1,A,Miscellaneous
362,2010-06-22,37.05388888,-120.96694444,1.0,B,Miscellaneous
363,2010-06-22,37.28111111,-120.30888888,0.3,B,Railroad
364,2010-06-23,37.44805555,-120.70111111,1.0,B,Equipment Use
365,2010-06-23,37.14388888,-120.95388888,7.0,B,Equipment Use
366,2010-06-23,37.43388888,-120.675,1.0,B,Miscellaneous
367,2010-06-24,37.01111111,-119.76111111,0.3,B,Miscellaneous
368,2010-06-24,37.05388888,-120.55388888,4.0,B,Miscellaneous
369,2010-06-24,37.03388888,-119.99,11.0,C,Children
370,2010-06-25,37.38888888,-120.595,0.3,B,Miscellaneous
371,2010-06-25,37.00694444,-120.10805555,0.3,B,Equipment Use
372,2010-06-13,37.11305555,-120.47305555,0.3,B,Debris Burning
373,2010-06-13,37.39,-120.72111111,0.1,A,Arson
374,2010-06-14,37.33388888,-120.575,1.0,B,Miscellaneous
375,2010-06-14,36.99611111,-120.645,1.0,B,Miscellaneous
376,2010-06-14,36.98694444,-120.07388888,1.0,B,Miscellaneous
377,2010-06-14,37.01805555,-120.12888888,1.0,B,Miscellaneous
378,2010-06-14,36.96305555,-120.65,1.0,B,Arson
379,2010-06-14,37.035,-119.99305555,9.0,B,Equipment Use
380,2010-06-15,37.47694444,-120.585,5.0,B,Miscellaneous
381,2010-06-18,37.08694444,-120.41888888,0.3,B,Miscellaneous
382,2010-06-18,37.445,-120.59388888,2.0,B,Miscellaneous
383,2010-06-18,37.08305555,-120.29694444,3.0,B,Miscellaneous
384,2010-06-18,37.39694444,-120.46111111,1.0,B,Miscellaneous
385,2010-06-18,37.01805555,-120.38305555,5.0,B,Miscellaneous
386,2010-06-18,37.425,-120.78194444,0.4,B,Children
387,2010-06-19,36.96,-120.035,1.0,B,Miscellaneous
388,2010-06-19,37.43,-120.77194444,0.2,A,Miscellaneous
389,2010-06-19,37.405,-120.77805555,0.4,B,Miscellaneous
390,2010-06-19,37.395,-120.77805555,0.4,B,Miscellaneous
391,2010-06-19,37.07611111,-120.30388888,0.2,A,Debris Burning
392,2010-06-20,37.1,-121.01611111,19.0,C,Smoking
393,2010-06-20,37.445,-120.59388888,0.2,A,Debris Burning
394,2010-06-26,37.09888888,-121.01888888,0.1,A,Miscellaneous
