DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
8/27/2010,37.08305555,-120.3469444,0.1,A,Miscellaneous
8/27/2010,37.21805555,-121.0811111,0.1,A,Miscellaneous
8/27/2010,37.10611111,-120.225,4,B,Miscellaneous
8/27/2010,37.23194444,-120.3069444,0.1,A,Debris Burning
8/30/2010,37.09111111,-120.2388889,2,B,Miscellaneous
9/4/2010,37.015,-120.645,1,B,Miscellaneous
9/5/2010,37.24,-120.3980556,2,B,Miscellaneous
9/5/2010,37.31305555,-120.8788889,10,C,Miscellaneous
9/5/2010,37.03305555,-120.6361111,0.6,B,Miscellaneous
9/6/2010,37.05694444,-120.8180556,0.2,A,Miscellaneous
9/7/2010,37.12694444,-120.3111111,0.5,B,Miscellaneous
9/8/2010,37.04305555,-120.1588889,0.2,A,Miscellaneous
9/17/2010,36.92305555,-119.8511111,5,B,Miscellaneous
9/17/2010,37.01388888,-120.9288889,0.3,B,Miscellaneous
9/18/2010,37.31805555,-120.4230556,1,B,Miscellaneous
9/20/2010,37.08611111,-120.2088889,0.3,B,Miscellaneous
9/20/2010,37.51888888,-120.44,0.3,B,Miscellaneous
9/23/2010,37.11305555,-120.3111111,0.5,B,Miscellaneous
9/27/2010,36.945,-120.035,0.3,B,Miscellaneous
8/31/2010,36.99,-120.0980556,0.3,B,Miscellaneous
9/1/2010,37.38888888,-120.6319444,0.3,B,Miscellaneous
9/2/2010,36.97805555,-120.0261111,0.1,A,Miscellaneous
9/2/2010,37.01805555,-120.1288889,0.1,A,Miscellaneous
9/3/2010,37.17111111,-120.3130556,1,B,Miscellaneous
9/11/2010,37.32194444,-120.5261111,1,B,Miscellaneous
9/12/2010,36.895,-120.1288889,0.1,A,Miscellaneous
9/12/2010,37.39694444,-120.4611111,1,B,Miscellaneous
9/15/2010,37.36388888,-120.86,1,B,Miscellaneous
9/15/2010,36.99694444,-120.1019444,1,B,Miscellaneous
9/15/2010,37.11305555,-120.3111111,0.5,B,Miscellaneous
9/16/2010,37.34611111,-120.7969444,0.5,B,Miscellaneous
9/16/2010,37.08388888,-120.2288889,0.3,B,Miscellaneous
9/16/2010,37.08694444,-120.2130556,0.8,B,Miscellaneous
9/17/2010,37.38888888,-120.6188889,0.5,B,Miscellaneous
9/28/2010,37.36805555,-120.6819444,0.1,A,Miscellaneous
9/29/2010,37.345,-120.6130556,1,B,Miscellaneous
9/30/2010,37.09388888,-121.0188889,0.1,A,Miscellaneous
9/30/2010,37.345,-120.2519444,120,D,Miscellaneous
10/15/2010,36.92388888,-120.255,1,B,Miscellaneous
